name;frequency
Anuar;0
Jaden;0
Mailo;0
Aiden;0
Ilay;0
Lenn;0
Lias;0
Lior;0
Marlo;0
Nio;0
Yaron;0
Leyan;0
Miles;0
Quinn;0
Aren;0
Auron;0
Ayaz;0
Béla;0
Emilian;0
Ignacy;0
Ilai;0
Keano;0
Kiano;0
Levio;0
Martim;0
Rayyan;0
Santino;0
Tomás;0
Atlas;0
Ayan;0
Enyo;0
Esra;0
Jamal;0
Joah;0
Keyan;0
Kuzey;0
Lauri;0
Liron;0
Liyan;0
Lui;0
Lyan;0
Pino;0
Ray;0
Salvador;0
Siar;0
Trim;0
Vicente;0
Yari;0
Aleksi;0
Arien;0
Aryan;0
Ayaan;0
Conor;0
Deen;0
Deon;0
Dior;0
Ediz;0
Ernest;0
Joakim;0
Kuno;0
Lejan;0
Leone;0
Levente;0
Lewis;0
Liun;0
Lourenço;0
Lum;0
Lurin;0
Maleo;0
Marios;0
Matin;0
Milian;0
Niilo;0
Nikolaj;0
Noh;0
Norik;0
Otis;0
Panagiotis;0
Phileas;0
Ravi;0
Riduan;0
Ronan;0
Taio;0
Tayo;0
Timeo;0
Viggo;0
Yaris;0
Yll;0
Yoab;0
Zion;0
Aariv;0
Achilleas;0
Adnit;0
Afonso;0
Akio;0
Amiro;0
Anor;0
Aran;0
Archie;0
Arin;0
Arslan;0
Arto;0
Asher;0
Baron;0
Bennet;0
Cajus;0
Cassius;0
Chase;0
Conrad;0
Corvin;0
Didar;0
Dávid;0
Eden;0
Eero;0
Eleano;0
Elvio;0
Enar;0
Eneo;0
Etian;0
Filippos;0
Finlay;0
Giosuè;0
Giulien;0
Gonçalo;0
Göktug;0
Hanno;0
Harvey;0
Henos;0
Herman;0
Hubert;0
Iago;0
Ino;0
Iouri;0
Isaias;0
Iván;0
Jace;0
Jake;0
Jamy;0
Jano;0
Jasha;0
Joná;0
Jori;0
Jón;0
Kacper;0
Kanoa;0
Kean;0
Kenai;0
Kimi;0
Kion;0
Konstantinos;0
Kosta;0
Kyano;0
Lawi;0
Lear;0
Lejs;0
Leno;0
Leonas;0
Leonik;0
Leron;0
Levent;0
Levian;0
Levyn;0
Leyth;0
León;0
Lirian;0
Luano;0
Lunis;0
Mads;0
Manoa;0
Mate;0
Matia;0
Mauno;0
Mian;0
Michal;0
Mihail;0
Mino;0
Muhab;0
Musab;0
Nevi;0
Nouri;0
Novak;0
Poyraz;0
Rahim;0
Ramiro;0
Reis;0
River;0
Riyan;0
Roko;0
Rron;0
Rupert;0
Shahin;0
Simão;0
Sokratis;0
Solomon;0
Stanislaw;0
Sufjan;0
Tamim;0
Tate;0
Temur;0
Theeran;0
Tilo;0
Troi;0
Tymon;0
Tyson;0
Vivaan;0
Vojin;0
Wilhelm;0
Xavi;0
Yaseen;0
Yekta;0
Yoel;0
Yonah;0
Yousef;0
Yunes;0
Zain;0
Zayn;0
Ármin;0
Émile;0
Ezra;0
Mio;0
Maylo;0
Eliel;0
Liano;0
Malio;0
Lario;0
Ledian;0
Lewin;0
Nicolás;0
Tiar;0
Timéo;0
Yano;0
Ylan;0
Yosyas;0
Aarush;0
Aldor;0
Amen;0
Arlo;0
Athiran;0
Corey;0
Duje;0
Einar;0
Elano;0
Eliam;0
Eloan;0
Enaël;0
Hektor;0
Jani;0
Joaquín;0
Joash;0
Kejan;0
Liem;0
Mahé;0
Majd;0
Mal;0
Malin;0
Mason;0
Matei;0
Mauri;0
Michail;0
Milann;0
Nalu;0
Noâm;0
Nyan;0
Orion;0
Rakan;0
Soan;0
Vihaan;0
Wassim;0
Yoric;0
Yul;0
Ádám;0
Élie;0
Maro;0
Adib;0
Leevi;0
Lenox;0
Nilay;0
Rejjan;0
Roen;0
Martín;0
Gaspard;0
Hayden;0
Louka;0
Aylan;0
Valentim;0
Éloi;0
Arsène;0
Constant;0
Drion;0
Emrys;0
Ezan;0
Kayden;0
Kaïs;0
Lenzo;0
Lijan;0
Léan;0
Maé;0
Priam;0
Raian;0
Sirius;0
Sohan;0
Tilio;0
Eneas;0
Aadvik;0
Ameo;0
Csongor;0
Elay;0
Flori;0
Meron;0
Sened;0
Unik;0
Aki;0
Fjonn;0
Koa;0
Matthia;0
Renas;0
Issam;0
Dajjen;0
Luej;0
Malte;0
Ragnar;0
Aditya;0
Akil;0
Amelio;0
Coen;0
Enno;0
Junis;0
Lautaro;0
Luar;0
Muhsin;0
Norbert;0
Ariano;0
Clau;0
Clà;0
Arne;0
Aaruth;0
Aksel;0
Arnes;0
Arti;0
Duan;0
Enael;0
Erfan;0
Ilijas;0
Junus;0
Kiril;0
Lamek;0
Luay;0
Milas;0
Ronis;0
Szymon;0
Torin;0
Ares;0
