name;frequency
Rickenmann;6
Rilliet;6
Ringoltingen;6
Rochat;6
Rohner;6
Rossier;6
Rossillon;6
Röthlisberger;6
Roulet;6
Rovéréa;6
Russ;6
Saylern;6
Scherz;6
Schiesser;6
Schmidheiny;6
Schneeberger;6
Schobinger;6
Schöni;6
Schubiger;6
Sieber;6
Stauffacher;6
Steffen;6
Steger;6
Stöckli;6
Stoll;6
Strasser;6
Supersaxo;6
Tarasp;6
Tegerfelden;6
Thomann;6
Thommen;6
Thoune;6
Traber;6
Trüllerey;6
Tschumi;6
Tugginer;6
Ursprung;6
Vallière;6
Vallotton;6
Vaz;6
Veillon;6
Velga;6
Volmar;6
Wackernagel;6
Waldburg;6
Wart;6
Weissenburg;6
Wengi;6
Wepfer;6
Winkelsheim;6
Wolfurt;6
Wolleb;6
Wuilleret;6
Wüthrich;6
Zeltner;6
Zili;6
Zoller;6
Zopfi;6
Zumbach;6
Aa;5
Aarbourg;5
Aebischer;5
Aepli;5
Aeschlimann;5
Altorfer;5
A;5
Amiet;5
Amstad;5
Andreae;5
Angst;5
Arregger;5
Artari;5
Aubry;5
Audemars;5
Balli;5
Barbieri;5
Barde;5
Barman;5
Barras;5
Battier;5
Baud;5
Baumberger;5
Beretta;5
Bernold;5
Bertoni;5
Besson;5
Bezzola;5
Bieder;5
Bigler;5
Billeter;5
Birchler;5
Blondel;5
Bluntschli;5
Bratschi;5
Breitinger;5
Brentano;5
Brocher;5
Brosi;5
Brugger;5
Bruggisser;5
Brühlmann;5
Bühlmann;5
Bührer;5
Burg;5
Burnat;5
Buser;5
Bustelli;5
Carl;5
Castell;5
Chapuis;5
Châtelain;5
Chenevière;5
Choisy;5
Chuard;5
Coray;5
Cottier;5
Cuénod;5
Danioth;5
Darier;5
Dätwyler;5
Des;5
Dietschi;5
Dives;5
Donatz;5
Düby;5
Duvillard;5
Emmenegger;5
Eschmann;5
Fabricius;5
Fahrländer;5
Falk;5
Fay;5
Felder;5
Feller;5
Forcart;5
Forni;5
Fossati;5
Fraisse;5
Francillon;5
Frédéric;5
Fricker;5
Gallatin;5
Geissbühler;5
Gelzer;5
Gfeller;5
Gianella;5
Gilliard;5
Gonin;5
Gossweiler;5
Göuffi;5
Grandjean;5
Grieder;5
Grosjean;5
Grütter;5
Gsell;5
Guex;5
Gujer;5
Guler;5
Haab;5
Hadorn;5
Haefeli;5
Hagen;5
Hallauer;5
Hammer;5
Handschin;5
Hänggi;5
Hassler;5
Hautle;5
Hediger;5
Helfenstein;5
Heller;5
Hildebrand;5
His;5
Hubacher;5
Hugi;5
Humbert;5
Imboden;5
In-Albon;5
Irmi;5
Isenschmid;5
Ivernois;5
Jaggi;5
Jeker;5
Jenni;5
Jezler;5
Joly;5
Jordan;5
Joris;5
Käppeli;5
Käslin;5
Kasser;5
Kesselring;5
Kilchmann;5
Kirchhofer;5
Kissling;5
Klein;5
Knechtenhofer;5
Knobel;5
Kocher;5
Kölbener;5
Kottmann;5
Kramer;5
Kreuel;5
Krieg;5
Kummer;5
Kuntschen;5
Kuoni;5
Kupferschmid;5
Landry;5
Lardy;5
Lasserre;5
Lauterburg;5
Leuba;5
Leuthold;5
Lichtenhahn;5
Lienhard;5
Linck;5
Lindt;5
Löw;5
Lüscher;5
Lüthy;5
Maillefer;5
Mani;5
Manz;5
Maraini;5
Marcuard;5
Miller;5
Monnin;5
Montandon;5
Mooser;5
Moreau;5
Mötteli;5
Mühll;5
Muralto;5
Müslin;5
Nagel;5
Neuburg;5
Oberholzer;5
Oehler;5
Otth;5
Page;5
Paillard;5
Paschoud;5
Payot;5
Pedroli;5
Pellegrini;5
Pelli;5
Pellizari;5
Pettolaz;5
Pfändler;5
Pfau;5
Pfeiffer;5
Pierre;5
Pittet;5
Reber;5
Rebmann;5
Reichmuth;5
Renner;5
Revilliod;5
Reyff;5
Ribi;5
Richter;5
Ringgenberg;5
Ris;5
Rohr;5
Rordorf;5
Rosé;5
Rost;5
Rothenfluh;5
Rüdli;5
Ruffieux;5
Rüpplin;5
Rychner;5
Sacchi;5
Salomon;5
Saluz;5
Savary;5
Schaffner;5
Schell;5
Scherb;5
Scheuber;5
Scheurer;5
Schilter;5
Schnetzler;5
Schürch;5
Schwab;5
Schwander;5
Schwartz;5
Schwarzenberg;5
Schwegler;5
Schwend;5
Schwytzer;5
Sforza;5
Siegenthaler;5
Siegrist;5
Siegwart;5
Sigg;5
Silva;5
Soutter;5
Spahr;5
Spiller;5
Spleiss;5
Spreng;5
Stähli;5
Staufen;5
Stern;5
Stickelberger;5
Stricker;5
Strübin;5
Suhner;5
Tatti;5
Tissières;5
Torricelli;5
Tour;5
Truchsessen;5
Tschiffeli;5
Tschopp;5
Veith;5
Vetter;5
Villard;5
Vincent;5
Volkart;5
Vuilleumier;5
Weyermann;5
Wildberger;5
Winz;5
Wipfli;5
Zaugg;5
Zbinden;5
Zum;5
Zumbühl;5
Zu;5
Aberli;4
Adalbert;4
Agassiz;4
Albert;4
Albrizzi;4
Alioth;4
Almen;4
Anderallmend;4
Anderwert;4
Appenzeller;4
Appia;4
Arbenz;4
Arlaud;4
Attinghausen;4
Auer;4
Autriche;4
Avenches;4
Babel;4
Bachofner;4
Badoux;4
Bagutti;4
Baillod;4
Bäldi;4
Barbey;4
Baroffio;4
Barthélemy;4
Bary;4
Bassus;4
Beausobre;4
Bebié;4
Bell;4
Bennenwil;4
Benninger;4
Benoit;4
Béranger;4
Berlinger;4
Bernard;4
Bertholet;4
Bickel;4
Billwiller;4
Binz;4
Binzegger;4
Bion;4
Birmann;4
Blattner;4
Blocher;4
Blunschi;4
Bobst;4
Bodenmann;4
Boéchat;4
Bolaz;4
Boller;4
Bolliger;4
Borella;4
Born;4
Borsinger;4
Boss;4
Boveri;4
Bovy;4
Braillard;4
Brandenberger;4
Brändli;4
Braunschweig;4
Breitenmoser;4
Brennwald;4
Breny;4
Bringolf;4
Brown;4
Bruderer;4
Bruni;4
Buch;4
Büchler;4
